ID,Sand/%,Silt/%,Clay/%
367,35.2,48.9,15.9
368,31.1,46.7,22.2
369,48,39.55,12.45
370,56.7,26.7,16.6
371,62.9,21.8,15.3
372,63.4,32.7,3.9
373,60.5,26.5,13
374,71,20.1,8.9
375,44.7,44.6,10.7
376,61.1,20.1,18.8
377,79.5,12,8.5
378,55.7,31.2,13.1
379,61.1,31.1,7.8
380,73,18.1,8.9
381,56.8,26.6,16.6
382,48.9,36.8,14.3
383,57.5,29.8,12.7
384,66.15,23.55,10.3
385,66.55,22.25,11.2
386,54.2,35.1,10.7
387,61.5,24.3,14.2
388,54.6,31.8,13.6
389,62.2,24,13.8
390,48.8,37,14.2
391,55.9,24.9,19.2
392,64.5,20.9,14.6
393,47.1,32.6,20.3
394,62,20.8,17.2
395,63.4,29.1,7.5
396,73.3,23.2,3.5
397,58.3,27.4,14.3
398,55.6,27.6,16.8
399,66.5,21.5,12
